day,vessel,count,batch
2,1,23258,2
2,2,21211,2
2,3,24222,2
2,4,34561,2
2,5,26600,2
2,6,197980,2
2,7,50086,2
2,8,28628,2
2,1,26787,2
2,2,37864,2
2,3,37115,2
2,4,27151,2
2,5,33652,2
2,6,108318,2
2,7,56081,2
2,8,33924,2
2,1,21770,2
2,2,39539,2
2,3,34802,2
2,4,26640,2
2,5,31221,2
2,6,61878,2
2,7,42604,2
2,8,34799,2
3,1,81657,2
3,2,28142,2
3,3,53551,2
3,4,45788,2
3,5,25188,2
3,6,33738,2
3,7,32165,2
3,8,37914,2
3,1,53683,2
3,2,24639,2
3,3,36411,2
3,4,36415,2
3,5,26411,2
3,6,34015,2
3,7,32690,2
3,8,33897,2
3,1,51022,2
3,2,22553,2
3,3,37151,2
3,4,34065,2
3,5,26344,2
3,6,33559,2
3,7,30646,2
3,8,33964,2
4,1,70981,2
4,2,24286,2
4,3,28188,2
4,4,27700,2
4,5,33068,2
4,6,24128,2
4,7,26448,2
4,8,23939,2
4,1,22643,2
4,2,22703,2
4,3,26874,2
4,4,24659,2
4,5,26815,2
4,6,24303,2
4,7,25268,2
4,8,26061,2
4,1,19381,2
4,2,19237,2
4,3,19460,2
4,4,22189,2
4,5,24503,2
4,6,24416,2
4,7,24752,2
4,8,22089,2
5,1,76012,2
5,2,29781,2
5,3,21297,2
5,4,16375,2
5,5,18717,2
5,6,21816,2
5,7,18168,2
5,1,35357,2
5,2,24478,2
5,3,21677,2
5,4,18329,2
5,5,18684,2
5,6,21497,2
5,7,20885,2
5,1,25686,2
5,2,24447,2
5,3,20249,2
5,4,16603,2
5,5,18027,2
5,6,21226,2
5,7,18926,2
0,1,586.14,1
0,2,1153.49,1
0,3,1174.27,1
0,4,1173.45,1
0,5,1192.59,1
0,6,1078.14,1
0,7,1156.7,1
0,8,911,1
0,1,1758.1,1
0,2,1558.5,1
0,3,1703.9,1
0,4,1481.4,1
0,5,2435.6,1
0,6,1690.3,1
0,7,1943.3,1
0,8,2237.9,1
0,1,1743,1
0,2,1122,1
0,3,1700,1
0,4,1926,1
0,5,2099,1
0,6,1782,1
0,7,1793,1
0,8,2711,1
0,1,1870,1
0,2,920,1
0,3,1470,1
