	day	hour	vessel	time	prepost	cond
Condensate	0					
Day0.Hr4.V3	1	16	3	1.666666667	pre	drift
Day0.Hr4.V4	1	16	4	1.666666667	pre	fixed
Day0.Hr4.V5	1	16	5	1.666666667	pre	drift
Day0.Hr4.V6	1	16	6	1.666666667	pre	fixed
Day0.Hr4.V7	1	16	7	1.666666667	pre	drift
Day0.Hr4.V8	1	16	8	1.666666667	pre	fixed
Day1.Hr4.V3	2	16	3	2.666666667	pre	drift
Day1.Hr4.V4	2	16	4	2.666666667	pre	fixed
Day1.Hr4.V5	2	16	5	2.666666667	pre	drift
Day1.Hr4.V6	2	16	6	2.666666667	pre	fixed
Day1.Hr4.V7	2	16	7	2.666666667	pre	drift
Day1.Hr4.V8	2	16	8	2.666666667	pre	fixed
Day10.Hr4.V3	11	16	3	11.66666667	pre	drift
Day10.Hr4.V4	11	16	4	11.66666667	pre	fixed
Day10.Hr4.V5	11	16	5	11.66666667	pre	drift
Day10.Hr4.V6	11	16	6	11.66666667	pre	fixed
Day10.Hr4.V7	11	16	7	11.66666667	pre	drift
Day10.Hr4.V8	11	16	8	11.66666667	pre	fixed
Day11.Hr4.V3	12	16	3	12.66666667	pre	drift
Day11.Hr4.V4	12	16	4	12.66666667	pre	fixed
Day11.Hr4.V5	12	16	5	12.66666667	pre	drift
Day11.Hr4.V6	12	16	6	12.66666667	pre	fixed
Day11.Hr4.V7	12	16	7	12.66666667	pre	drift
Day11.Hr4.V8	12	16	8	12.66666667	pre	fixed
Day12.Hr4.V3	13	16	3	13.66666667	pre	drift
Day12.Hr4.V4	13	16	4	13.66666667	pre	fixed
Day12.Hr4.V5	13	16	5	13.66666667	pre	drift
Day12.Hr4.V6	13	16	6	13.66666667	pre	fixed
Day12.Hr4.V7	13	16	7	13.66666667	pre	drift
Day12.Hr4.V8	13	16	8	13.66666667	pre	fixed
Day13.Hr4.V3	14	16	3	14.66666667	pre	drift
Day13.Hr4.V4	14	16	4	14.66666667	pre	fixed
Day13.Hr4.V5	14	16	5	14.66666667	pre	drift
Day13.Hr4.V6	14	16	6	14.66666667	pre	fixed
Day13.Hr4.V7	14	16	7	14.66666667	pre	drift
Day13.Hr4.V8	14	16	8	14.66666667	pre	fixed
Day14.Hr4.V3	15	16	3	15.66666667	pre	drift
Day14.Hr4.V4	15	16	4	15.66666667	pre	fixed
Day14.Hr4.V5	15	16	5	15.66666667	pre	drift
Day14.Hr4.V6	15	16	6	15.66666667	pre	fixed
Day14.Hr4.V7	15	16	7	15.66666667	pre	drift
Day14.Hr4.V8	15	16	8	15.66666667	pre	fixed
Day14.Hr8.V3	15	8	3	15.33333333	pre	drift
Day14.Hr8.V4	15	8	4	15.33333333	pre	fixed
Day14.Hr8.V5	15	8	5	15.33333333	pre	drift
Day14.Hr8.V6	15	8	6	15.33333333	pre	fixed
Day14.Hr8.V7	15	8	7	15.33333333	pre	drift
Day14.Hr8.V8	15	8	8	15.33333333	pre	fixed
Day15.Hr4.V3	16	16	3	16.66666667	pre	drift
Day15.Hr4.V4	16	16	4	16.66666667	pre	fixed
Day15.Hr4.V5	16	16	5	16.66666667	pre	drift
Day15.Hr4.V6	16	16	6	16.66666667	pre	fixed
Day15.Hr4.V7	16	16	7	16.66666667	pre	drift
Day15.Hr4.V8	16	16	8	16.66666667	pre	fixed
Day15.Hr8.V3	16	8	3	16.33333333	pre	drift
Day15.Hr8.V4	16	8	4	16.33333333	pre	fixed
Day15.Hr8.V5	16	8	5	16.33333333	pre	drift
Day15.Hr8.V6	16	8	6	16.33333333	pre	fixed
Day15.Hr8.V7	16	8	7	16.33333333	pre	drift
Day15.Hr8.V8	16	8	8	16.33333333	pre	fixed
Day16.Hr4.V3	17	16	3	17.66666667	pre	drift
Day16.Hr4.V4	17	16	4	17.66666667	pre	fixed
Day16.Hr4.V5	17	16	5	17.66666667	pre	drift
Day16.Hr4.V6	17	16	6	17.66666667	pre	fixed
Day16.Hr4.V7	17	16	7	17.66666667	pre	drift
Day16.Hr4.V8	17	16	8	17.66666667	pre	fixed
Day16.Hr8.V3	17	8	3	17.33333333	pre	drift
Day16.Hr8.V4	17	8	4	17.33333333	pre	fixed
Day16.Hr8.V5	17	8	5	17.33333333	pre	drift
Day16.Hr8.V6	17	8	6	17.33333333	pre	fixed
Day16.Hr8.V7	17	8	7	17.33333333	pre	drift
Day16.Hr8.V8	17	8	8	17.33333333	pre	fixed
Day17.Hr4.V3	18	16	3	18.66666667	pre	drift
Day17.Hr4.V4	18	16	4	18.66666667	pre	fixed
Day17.Hr4.V5	18	16	5	18.66666667	pre	drift
Day17.Hr4.V6	18	16	6	18.66666667	pre	fixed
Day17.Hr4.V7	18	16	7	18.66666667	pre	drift
Day17.Hr4.V8	18	16	8	18.66666667	pre	fixed
Day17.Hr8.V3	18	8	3	18.33333333	pre	drift
Day17.Hr8.V4	18	8	4	18.33333333	pre	fixed
Day17.Hr8.V5	18	8	5	18.33333333	pre	drift
Day17.Hr8.V6	18	8	6	18.33333333	pre	fixed
Day17.Hr8.V7	18	8	7	18.33333333	pre	drift
Day17.Hr8.V8	18	8	8	18.33333333	pre	fixed
Day18.Hr4.V3	19	16	3	19.66666667	pre	drift
Day18.Hr4.V4	19	16	4	19.66666667	pre	fixed
Day18.Hr4.V5	19	16	5	19.66666667	pre	drift
Day18.Hr4.V6	19	16	6	19.66666667	pre	fixed
Day18.Hr4.V7	19	16	7	19.66666667	pre	drift
Day18.Hr4.V8	19	16	8	19.66666667	pre	fixed
Day18.Hr8.V3	19	8	3	19.33333333	pre	drift
Day18.Hr8.V4	19	8	4	19.33333333	pre	fixed
Day18.Hr8.V5	19	8	5	19.33333333	pre	drift
Day18.Hr8.V6	19	8	6	19.33333333	pre	fixed
Day18.Hr8.V7	19	8	7	19.33333333	pre	drift
Day18.Hr8.V8	19	8	8	19.33333333	pre	fixed
Day19.Hr4.V3	20	16	3	20.66666667	post	drift
Day19.Hr4.V4	20	16	4	20.66666667	post	fixed
Day19.Hr4.V5	20	16	5	20.66666667	post	drift
Day19.Hr4.V6	20	16	6	20.66666667	post	fixed
Day19.Hr4.V7	20	16	7	20.66666667	post	drift
Day19.Hr4.V8	20	16	8	20.66666667	post	fixed
Day19.Hr8.V3	20	8	3	20.33333333	post	drift
Day19.Hr8.V4	20	8	4	20.33333333	post	fixed
Day19.Hr8.V5	20	8	5	20.33333333	post	drift
Day19.Hr8.V6	20	8	6	20.33333333	post	fixed
Day19.Hr8.V7	20	8	7	20.33333333	post	drift
Day19.Hr8.V8	20	8	8	20.33333333	post	fixed
Day2.Hr4.V3	3	16	3	3.666666667	pre	drift
Day2.Hr4.V4	3	16	4	3.666666667	pre	fixed
Day2.Hr4.V5	3	16	5	3.666666667	pre	drift
Day2.Hr4.V6	3	16	6	3.666666667	pre	fixed
Day2.Hr4.V7	3	16	7	3.666666667	pre	drift
Day2.Hr4.V8	3	16	8	3.666666667	pre	fixed
Day20.Hr4.V3	21	16	3	21.66666667	post	drift
Day20.Hr4.V4	21	16	4	21.66666667	post	fixed
Day20.Hr4.V5	21	16	5	21.66666667	post	drift
Day20.Hr4.V6	21	16	6	21.66666667	post	fixed
Day20.Hr4.V7	21	16	7	21.66666667	post	drift
Day20.Hr4.V8	21	16	8	21.66666667	post	fixed
Day20.Hr8.V3	21	8	3	21.33333333	post	drift
Day20.Hr8.V4	21	8	4	21.33333333	post	fixed
Day20.Hr8.V5	21	8	5	21.33333333	post	drift
Day20.Hr8.V6	21	8	6	21.33333333	post	fixed
Day20.Hr8.V7	21	8	7	21.33333333	post	drift
Day20.Hr8.V8	21	8	8	21.33333333	post	fixed
Day21.Hr4.V3	22	16	3	22.66666667	post	drift
Day21.Hr4.V4	22	16	4	22.66666667	post	fixed
Day21.Hr4.V5	22	16	5	22.66666667	post	drift
Day21.Hr4.V6	22	16	6	22.66666667	post	fixed
Day21.Hr4.V7	22	16	7	22.66666667	post	drift
Day21.Hr4.V8	22	16	8	22.66666667	post	fixed
Day21.Hr8.V3	22	8	3	22.33333333	post	drift
Day21.Hr8.V4	22	8	4	22.33333333	post	fixed
Day21.Hr8.V5	22	8	5	22.33333333	post	drift
Day21.Hr8.V6	22	8	6	22.33333333	post	fixed
Day21.Hr8.V7	22	8	7	22.33333333	post	drift
Day21.Hr8.V8	22	8	8	22.33333333	post	fixed
Day22.Hr4.V3	23	16	3	23.66666667	post	drift
Day22.Hr4.V4	23	16	4	23.66666667	post	fixed
Day22.Hr4.V5	23	16	5	23.66666667	post	drift
Day22.Hr4.V6	23	16	6	23.66666667	post	fixed
Day22.Hr4.V7	23	16	7	23.66666667	post	drift
Day22.Hr4.V8	23	16	8	23.66666667	post	fixed
Day22.Hr8.V3	23	8	3	23.33333333	post	drift
Day22.Hr8.V4	23	8	4	23.33333333	post	fixed
Day22.Hr8.V5	23	8	5	23.33333333	post	drift
Day22.Hr8.V6	23	8	6	23.33333333	post	fixed
Day22.Hr8.V7	23	8	7	23.33333333	post	drift
Day22.Hr8.V8	23	8	8	23.33333333	post	fixed
Day23.Hr4.V3	24	16	3	24.66666667	post	drift
Day23.Hr4.V4	24	16	4	24.66666667	post	fixed
Day23.Hr4.V5	24	16	5	24.66666667	post	drift
Day23.Hr4.V6	24	16	6	24.66666667	post	fixed
Day23.Hr4.V7	24	16	7	24.66666667	post	drift
Day23.Hr4.V8	24	16	8	24.66666667	post	fixed
Day23.Hr8.V3	24	8	3	24.33333333	post	drift
Day23.Hr8.V4	24	8	4	24.33333333	post	fixed
Day23.Hr8.V5	24	8	5	24.33333333	post	drift
Day23.Hr8.V6	24	8	6	24.33333333	post	fixed
Day23.Hr8.V7	24	8	7	24.33333333	post	drift
Day23.Hr8.V8	24	8	8	24.33333333	post	fixed
Day24.Hr4.V3	25	16	3	25.66666667	post	drift
Day24.Hr4.V4	25	16	4	25.66666667	post	fixed
Day24.Hr4.V5	25	16	5	25.66666667	post	drift
Day24.Hr4.V6	25	16	6	25.66666667	post	fixed
Day24.Hr4.V7	25	16	7	25.66666667	post	drift
Day24.Hr4.V8	25	16	8	25.66666667	post	fixed
Day24.Hr8.V3	25	8	3	25.33333333	post	drift
Day24.Hr8.V4	25	8	4	25.33333333	post	fixed
Day24.Hr8.V5	25	8	5	25.33333333	post	drift
Day24.Hr8.V6	25	8	6	25.33333333	post	fixed
Day24.Hr8.V7	25	8	7	25.33333333	post	drift
Day24.Hr8.V8	25	8	8	25.33333333	post	fixed
Day3.Hr4.V3	4	16	3	4.666666667	pre	drift
Day3.Hr4.V4	4	16	4	4.666666667	pre	fixed
Day3.Hr4.V5	4	16	5	4.666666667	pre	drift
Day3.Hr4.V6	4	16	6	4.666666667	pre	fixed
Day3.Hr4.V7	4	16	7	4.666666667	pre	drift
Day3.Hr4.V8	4	16	8	4.666666667	pre	fixed
Day4.Hr4.V3	5	16	3	5.666666667	pre	drift
Day4.Hr4.V4	5	16	4	5.666666667	pre	fixed
Day4.Hr4.V5	5	16	5	5.666666667	pre	drift
Day4.Hr4.V6	5	16	6	5.666666667	pre	fixed
Day4.Hr4.V7	5	16	7	5.666666667	pre	drift
Day4.Hr4.V8	5	16	8	5.666666667	pre	fixed
Day5.Hr4.V3	6	16	3	6.666666667	pre	drift
Day5.Hr4.V4	6	16	4	6.666666667	pre	fixed
Day5.Hr4.V5	6	16	5	6.666666667	pre	drift
Day5.Hr4.V6	6	16	6	6.666666667	pre	fixed
Day5.Hr4.V7	6	16	7	6.666666667	pre	drift
Day5.Hr4.V8	6	16	8	6.666666667	pre	fixed
Day6.Hr4.V3	7	16	3	7.666666667	pre	drift
Day6.Hr4.V4	7	16	4	7.666666667	pre	fixed
Day6.Hr4.V5	7	16	5	7.666666667	pre	drift
Day6.Hr4.V6	7	16	6	7.666666667	pre	fixed
Day6.Hr4.V7	7	16	7	7.666666667	pre	drift
Day6.Hr4.V8	7	16	8	7.666666667	pre	fixed
Day7.Hr4.V3	8	16	3	8.666666667	pre	drift
Day7.Hr4.V4	8	16	4	8.666666667	pre	fixed
Day7.Hr4.V5	8	16	5	8.666666667	pre	drift
Day7.Hr4.V6	8	16	6	8.666666667	pre	fixed
Day7.Hr4.V7	8	16	7	8.666666667	pre	drift
Day7.Hr4.V8	8	16	8	8.666666667	pre	fixed
Day8.Hr4.V3	9	16	3	9.666666667	pre	drift
Day8.Hr4.V4	9	16	4	9.666666667	pre	fixed
Day8.Hr4.V5	9	16	5	9.666666667	pre	drift
Day8.Hr4.V6	9	16	6	9.666666667	pre	fixed
Day8.Hr4.V7	9	16	7	9.666666667	pre	drift
Day8.Hr4.V8	9	16	8	9.666666667	pre	fixed
Day9.Hr4.V3	10	16	3	10.66666667	pre	drift
Day9.Hr4.V4	10	16	4	10.66666667	pre	fixed
Day9.Hr4.V5	10	16	5	10.66666667	pre	drift
Day9.Hr4.V6	10	16	6	10.66666667	pre	fixed
Day9.Hr4.V7	10	16	7	10.66666667	pre	drift
Day9.Hr4.V8	10	8	8	10.33333333	pre	fixed
Inoculum	0					
